A,ADD (32),RX-a,C,,,A,,IF,,,B2,5A,7-25,,,
AD,ADD NORMALIZED (long HFP),RX-a,C,,"¤7,9",A,Da,EU,EO,LS,B2,6A,18-8,,,
ADB,ADD (long BFP),RXE,C,,"¤7,9",A,Db,Xi,Xo,Xu Xx,B2,ED1A,19-15,,,
ADBR,ADD (long BFP),RRE,C,,"¤7,9",,Db,Xi,Xo,Xu Xx,,B31A,19-15,,,
ADR,ADD NORMALIZED (long HFP),RR,C,,"¤7,9",,Da,EU,EO,LS,,2A,18-8,,,
ADTR,ADD (long DFP),RRF-a,C,TF,"¤7,9",,Dt,Xi,Xo,Xu Xx,,B3D2,20-18,,,
ADTRA,ADD (long DFP),RRF-a,C,F,"¤7,9",,Dt,Xi,Xo,Xu Xx Xq,,B3D2,20-18,,,
AE,ADD NORMALIZED (short HFP),RX-a,C,,"¤7,9",A,Da,EU,EO,LS,B2,7A,18-8,,,
AEB,ADD (short BFP),RXE,C,,"¤7,9",A,Db,Xi,Xo,Xu Xx,B2,ED0A,19-15,,,
AEBR,ADD (short BFP),RRE,C,,"¤7,9",,Db,Xi,Xo,Xu Xx,,B30A,19-15,,,
AER,ADD NORMALIZED (short HFP),RR,C,,"¤7,9",,Da,EU,EO,LS,,3A,18-8,,,
AFI,ADD IMMEDIATE (32),RIL-a,C,EI,,,,IF,,,,C29,7-26,,,
AG,ADD (64),RXY-a,C,N,,A,,IF,,,B2,E308,7-26,,,
AGF,ADD (6432),RXY-a,C,N,,A,,IF,,,B2,E318,7-26,,,
AGFI,ADD IMMEDIATE (6432),RIL-a,C,EI,,,,IF,,,,C28,7-26,,,
AGFR,ADD (6432),RRE,C,N,,,,IF,,,,B918,7-25,,,
AGHI,ADD HALFWORD IMMEDIATE (6416),RI-a,C,N,,,,IF,,,,A7B,7-27,,,
AGHIK,ADD IMMEDIATE (6416),RIE-d,C,DO,,,,IF,,,,ECD9,7-26,,,
AGR,ADD (64),RRE,C,N,,,,IF,,,,B908,7-25,,,
AGRK,ADD (64),RRF-a,C,DO,,,,IF,,,,B9E8,7-25,,,
AGSI,ADD IMMEDIATE (648),SIY,C,GE,,A,,IF,£1,ST,B1,EB7A,7-26,,,
AH,ADD HALFWORD (3216),RX-a,C,,,A,,IF,,,B2,4A,7-27,,,
AHHHR,ADD HIGH (32),RRF-a,C,HW,,,,IF,,,,B9C8,7-28,,,
AHHLR,ADD HIGH (32),RRF-a,C,HW,,,,IF,,,,B9D8,7-28,,,
AHI,ADD HALFWORD IMMEDIATE (3216),RI-a,C,,,,,IF,,,,A7A,7-27,,,
AHIK,ADD IMMEDIATE (3216),RIE-d,C,DO,,,,IF,,,,ECD8,7-26,,,
AHY,ADD HALFWORD (3216),RXY-a,C,LD,,A,,IF,,,B2,E37A,7-27,,,
AIH,ADD IMMEDIATE HIGH (32),RIL-a,C,HW,,,,IF,,,,CC8,7-28,,,
AL,ADD LOGICAL (32),RX-a,C,,,A,,,,,B2,5E,7-29,,,
ALC,ADD LOGICAL WITH CARRY (32),RXY-a,C,N3,,A,,,,,B2,E398,7-30,,,
ALCG,ADD LOGICAL WITH CARRY (64),RXY-a,C,N,,A,,,,,B2,E388,7-30,,,
ALCGR,ADD LOGICAL WITH CARRY (64),RRE,C,N,,,,,,,,B988,7-30,,,
ALCR,ADD LOGICAL WITH CARRY (32),RRE,C,N3,,,,,,,,B998,7-30,,,
ALFI,ADD LOGICAL IMMEDIATE (32),RIL-a,C,EI,,,,,,,,C2B,7-29,,,
ALG,ADD LOGICAL (64),RXY-a,C,N,,A,,,,,B2,E30A,7-29,,,
ALGF,ADD LOGICAL (6432),RXY-a,C,N,,A,,,,,B2,E31A,7-29,,,
ALGFI,ADD LOGICAL IMMEDIATE (6432),RIL-a,C,EI,,,,,,,,C2A,7-29,,,
ALGFR,ADD LOGICAL (6432),RRE,C,N,,,,,,,,B91A,7-29,,,
ALGHSIK,ADD LOGICAL WITH SIGNED IMMEDIATE (6416),RIE-d,C,DO,,,,,,,,ECDB,7-31,,,
